 Dental Aquaro PC; General Dentistry; 0; 0; Elmhurst; 9603 Roosevelt Avenue, Corona, NY 11368; (718) 396-9711 
Leona Kotlyar, DDS; Pediatric Dentists; 5.0 star rating; 2 reviews; Bay Ridge; 7815  5th Ave, Brooklyn, NY 11209; (718) 745-4422 
Leonardi Olga Dr; Doctors; 3.0 star rating; 17 reviews; Union Square, Greenwich Village; 80 5th Ave, New York, NY 10011; (212) 414-8248 
Lesley B Stevens, PhD, LMHC; Counseling & Mental Health; 5.0 star rating; 1 review; Whitestone; 20-28 Francis Lewis Blvd, Queens, NY 11357; (917) 885-7688 
Levine Peter DPM; Doctors; 1.0 star rating; 1 review; Yorkville, Upper East Side; 200 E 72nd Street, New York, NY 10021; (212) 288-3668 
Lexington Obgyn; Obstetricians & Gynecologists; 3.0 star rating; 31 reviews; Midtown East, Murray Hill, Kips Bay; 145 E 32nd St, New York, NY 10016; (212) 686-8686 
Liberty Hearing Centers; Hearing Aid Providers, Audiologist; 0; 0; Sheepshead Bay; 2204 Voorhies Ave, Brooklyn, NY 11235; (718) 646-1572 
Liberty Hearing Centers; Hearing Aid Providers; 0; 0; Fort Hamilton, Bay Ridge; 9015 5th Ave, Brooklyn, NY 11209; (718) 502-9656 
Liberty RC; Dialysis Clinics; 0; 0; Marine Park; 3915 Ave V, Brooklyn, NY 11234; (718) 252-8440 
Liberty Wellness & Chiro - Upper East Side; Chiropractors, Physical Therapy, Massage Therapy; 4.5 star rating; 11 reviews; Upper East Side; 232 E 66th St, New York, NY 10065; (212) 785-9620 
Licensed  Clinic  Social Workers Of NY Pc; null; 0; 0; Kew Gardens; 8040 Lefferts Blvd, Kew Gardens, NY 11415; (718) 441-3444 
Life Care Dialysis Center; Dialysis Clinics; 1.0 star rating; 1 review; Upper West Side; 211 W 61st Street, New York, NY 10023; (212) 977-6100 
Life Test  Clinic  Laboratory; Laboratory Testing; 0; 0; Gravesend; 2455 McDonald Ave, Brooklyn, NY 11223; (718) 336-5109 
LifeRx Chinese Herbs & Acupuncture; Acupuncture; 5.0 star rating; 1 review; Gramercy; 305 2nd Ave 14 St, Manhattan, NY 10003; (212) 447-0750 
Lin Li Yan-Rosenberg Pysician Pc; Obstetricians & Gynecologists; 3.0 star rating; 4 reviews; Dyker Heights; 6805 Fort Hamilton Pkwy, Brooklyn, NY 11219; (718) 759-1890 
Lin Sister Herb Shop; Acupuncture; 4.5 star rating; 44 reviews; Chinatown, Civic Center; 4 Bowery, New York, NY 10013; (212) 962-5417 
Lincoln Hospital; Dialysis Clinics; 0; 0; Mott Haven; 234 E 149th St, West Bronx, NY 10451; (718) 579-5548 
Linda Dahl, MD; Ear Nose & Throat; 4.5 star rating; 15 reviews; Midtown East; 120 E 56th St, New York, NY 10022; (212) 920-3047 
Linda K. Franks, MD; Dermatologists; 5.0 star rating; 2 reviews; Gramercy, Flatiron; 60 Gramercy Park N, New York, NY 10010; (212) 475-2312 
Linda L Huang, DDS, MD; Oral Surgeons; 5.0 star rating; 13 reviews; Downtown Flushing, Flushing; 134-43 Maple Ave, Flushing, NY 11355; (917) 793-6888 
Linda R Grad PhD; Hypnosis/Hypnotherapy, Psychologists; 3.5 star rating; 3 reviews; Midtown East; 135 E 50th St, New York, NY 10022; (212) 813-8084 
Lindenwood Medical Group; Doctors; 1.5 star rating; 4 reviews; New Lots; 2832 Linden Blvd, Brooklyn, NY 11208; (718) 240-2000 
Lipman Frank Dr; Doctors; 3.0 star rating; 2 reviews; Flatiron; 32 W 22nd Street, New York, NY 10010; (212) 255-1800 
Lipner & Weisfuse Dentistry; Cosmetic Dentists; 5.0 star rating; 3 reviews; Midtown East; 12 E 41st St, New York, NY 10017; (212) 685-4730 
Liss Polina Md; Doctors; 4.0 star rating; 5 reviews; Gramercy; 305 2nd Ave Ste 4, New York, NY 10003; (212) 375-0005 
Little Neck Bay Oral & Maxillofacial Surgery; Oral Surgeons; 5.0 star rating; 9 reviews; Bayside; 38-08 Bell Blvd, Bayside, NY 11361; (718) 631-3300 
Livable Lovable Life; Counseling & Mental Health, Life Coach; 0; 0; Upper West Side; 20 W 86th St, New York, NY 10024; (212) 479-7352 
Liviu Saimovici, MD; Ophthalmologists, Laser Eye Surgery/Lasik; 4.5 star rating; 14 reviews; Midtown East, Murray Hill; 800 2nd Ave, New York, NY 10017; (212) 517-3937 
Local 32B-32J Hypertension ; Doctors; 0; 0; South Village; 101 Avenue of the Americ, New York, NY 10013; (212) 388-3200 
Long Island Consultation Center; null; 1.0 star rating; 2 reviews; Forest Hills; 9729 64th Rd, Rego Park, NY 11374; (718) 896-3400 
Lori Plutchik, MD; Psychiatrists; 5.0 star rating; 1 review; Upper East Side; 64 E 94th St, New York, NY 10128; (646) 672-1288 
Louis C. Barricelli, MD; Doctors; 4.5 star rating; 21 reviews; Williamsburg - North Side; 36 Skillman Ave, Brooklyn, NY 11211; (718) 389-0050 
Louis C. Franzetti, D.D.S.; General Dentistry, Periodontists; 5.0 star rating; 2 reviews; Midtown East; 30 E 60th St, New York, NY 10022; (212) 588-9959 
Louis J Morledge, MD; Doctors; 3.5 star rating; 14 reviews; Midtown East; 150 E 58th St, New York, NY 10155; (212) 583-2830 
Louis T Calvano, DC; Chiropractors; 5.0 star rating; 2 reviews; Midtown East, Murray Hill, Kips Bay; 481 3rd Ave, New York, NY 10016; (212) 369-5490 
Louis W Catalano III, MD; Orthopedists; 4.5 star rating; 5 reviews; Hell's Kitchen, Midtown West; 1000 10th Ave, New York, NY 10019; (212) 523-7590 
Lower Manhattan Dialysis Administration; Dialysis Clinics; 0; 0; Midtown East, Murray Hill, Kips Bay; 317 E 34th St, New York, NY 10016; (212) 889-0770 
Lower Manhattan Dialysis Ctr; Dialysis Clinics; 0; 0; Gramercy; 187 3rd Avenue, New York, NY 10003; (212) 388-0095 
Lower Manhattan Dialysis Ctr; Dialysis Clinics; 0; 0; Midtown East, Murray Hill; 317 E 34th Street, New York, NY 10016; (212) 889-1082 
Lower Manhattan Dialysis; Dialysis Clinics; 0; 0; SoHo; 9 Crosby Street, New York, NY 10013; (212) 925-8020 
Loyola Physical Therapy; Physical Therapy, Massage Therapy; 5.0 star rating; 6 reviews; Williamsburg - North Side; 195 Bedford Ave, Brooklyn, NY 11211; (718) 384-4670 
Ludwig David Dr; Doctors; 1.0 star rating; 1 review; Upper East Side; 20 E 74th Street, New York, NY 10021; (212) 472-8019 
Luke Hamilton Acupuncture; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 8 reviews; Union Square, Gramercy, Flatiron; 32 Union Sq E, Manhattan, NY 10003; (917) 864-5058 
Luren Medical Dental & Foot ; Doctors; 0; 0; Mount Eden; 57 E Mount Eden Avenue, Bronx, NY 10452; (718) 901-4111 
Luria Neuroscience Institute; Counseling & Mental Health, Adult Education, Tutoring Centers; 0; 0; Hell's Kitchen, Midtown West; 315 W 57th St, New York, NY 10019; (212) 541-6412 
Lutheran Medical Center; Medical Centers; 1.0 star rating; 1 review; East Flatbush; 3414 Church Avenue, Brooklyn, NY 11203; (718) 940-9425 
Lutheran Medical Center; Medical Centers; 2.5 star rating; 43 reviews; Sunset Park; 150 55th St, Brooklyn, NY 11220; (718) 630-7000 
Lutheran Medical Dental ; General Dentistry; 2.5 star rating; 3 reviews; Sunset Park; 150 55th St, New York, NY 11220; (718) 630-6875 
Lutz ; Medical Centers; 0; 0; Upper East Side; 360 E 72nd St, Manhattan, NY 10021; (646) 476-3164 
Luxury Dentistry NYC; Cosmetic Dentists, General Dentistry, Periodontists; 4.5 star rating; 30 reviews; Yorkville, Upper East Side; 328 E 75th St, New York, NY 10021; (212) 759-7535 
Lynn Wojton, RN; Nurse Practitioner; 5.0 star rating; 2 reviews; Upper East Side; 1049 Fifth Ave, New York, NY 10028; (212) 327-2919 
Lynne Spevack LCSW; Counseling & Mental Health, Life Coach; 0; 0; Financial District; 75 Maiden Ln, New York, NY 10038; (718) 377-3400 
Lyon & Martin Medical Associates, PC; Doctors; 3.5 star rating; 15 reviews; Midtown East; 59 E 54th St, New York, NY 10022; (212) 750-8330 
MHH  Clinic  Svcs; null; 0; 0; Flatiron; 333 Park Ave S, New York, NY 10010; (212) 388-1903 
MOUNTAIN; Acupuncture, Yoga; 4.0 star rating; 22 reviews; Crown Heights; 903 Franklin Ave, Brooklyn, NY 11225; (718) 771-2476 
MRPT Physical Therapy; Physical Therapy, Rehabilitation Center, Massage; 4.0 star rating; 4 reviews; Midtown East; 6 E 45th St, New York, NY 10017; (212) 661-2933 
Macy’s Vision Express; Optometrists; 2.5 star rating; 43 reviews; Midtown West; 151 W 34th St, New York, NY 10001; (212) 494-7300 
Madeline Gleich, LCSW; Counseling & Mental Health; 0; 0; Manhattan Valley; 250 Riverside Dr, Manhattan, NY 10025; (212) 864-7369 
Madison Ave Chiropractic Center; Chiropractors; 3.0 star rating; 21 reviews; Midtown East, Murray Hill; 295 Madison Ave, New York, NY 10017; (212) 684-5811 
Madison Avenue Eyecare; Optometrists, Eyewear & Opticians; 3.0 star rating; 15 reviews; Midtown East; 405 Lexington Ave, New York, NY 10017; (212) 687-2054 
Madison Dental Art; Endodontists, Periodontists, Orthodontists; 5.0 star rating; 5 reviews; Forest Hills; 112-03 Queens Boulevard, Suite 211, Forest Hills, NY 11375; (718) 268-8228 
Madison Dental Group; General Dentistry, Cosmetic Dentists, Periodontists; 4.0 star rating; 28 reviews; Midtown East; 515 Madison Ave, New York, NY 10022; (212) 935-9300 
Madison Marriage & Family Therapy; Counseling & Mental Health; 0; 0; Midtown East, Murray Hill; 271 Madison Ave, Manhattan, NY 10016; (917) 488-6364 
Madison Medical Practice; Urgent Care; 2.5 star rating; 33 reviews; Midtown East; 274 Madison Ave, New York, NY 10016; (212) 686-5800 
Madison Ophthalmology; Ophthalmologists, Laser Eye Surgery/Lasik, Medical Centers; 4.0 star rating; 10 reviews; Midtown East, Murray Hill; 161 Madison Ave, Manhattan, NY 10016; (212) 448-0101 
Madison Park Psychological Services; Counseling & Mental Health; 0; 0; Flatiron; 51 E 25th St, New York, NY 10010; (718) 809-3703 
Madison Physical Therapy; Physical Therapy; 5.0 star rating; 3 reviews; Bay Ridge; 8415 4th Ave, Brooklyn, NY 11209; (718) 921-9721 
Magical Acupuncture PC; Acupuncture, Traditional Chinese Medicine, Massage Therapy; 5.0 star rating; 1 review; Chinatown; 17 E Broadway, New York, NY 10002; (212) 406-2439 
Mailin Mimi Lai, DDS, PC; General Dentistry, Periodontists; 3.5 star rating; 44 reviews; Chinatown; 11 E Broadway, New York, NY 10038; (212) 227-3088 
Maimonides Medical Center; Medical Centers, Hospitals, Counseling & Mental Health; 2.5 star rating; 48 reviews; Borough Park; 4802 10th Ave, Brooklyn, NY 11219; (718) 283-6000 
Maitreya Padukone, DMD PC; General Dentistry, Cosmetic Dentists; 4.5 star rating; 39 reviews; Upper West Side; 253 W 72nd St, New York, NY 10023; (212) 874-2212 
Malcolm Thaler, MD; Internal Medicine, Family Practice; 0; 0; Midtown West; 1790 Broadway, New York, NY 10019; (212) 530-0624 
Manage  Clinic  Solutions; null; 0; 0; Midtown East; 345 Park Ave, New York, NY 10154; (212) 688-4075 
Managed  Clinic  Solutions; null; 0; 0; Midtown East; 345 Park Ave, New York, NY 10154; (212) 590-4700 
Managed Orthodontic Care of NYC; Orthodontists; 3.0 star rating; 2 reviews; Kensington, Flatbush; 303 Beverley Rd, Brooklyn, NY 11218; (718) 436-5175 
Mandel Vision; Ophthalmologists, Laser Eye Surgery/Lasik; 5.0 star rating; 87 reviews; Upper East Side; 211 E 70th St, New York, NY 10021; (888) 866-3681 
Manhattan Acupuncture ; Acupuncture; 0; 0; Flatiron; 12 W 27th St, New York, NY 10001; (917) 331-2694 
Manhattan Acupuncture ; Acupuncture; 0; 0; Flatiron; 900 Broadway, Manhattan, NY 10003; (917) 968-6456 
Manhattan Acupuncture Associates; Acupuncture, Traditional Chinese Medicine; 5.0 star rating; 1 review; Upper West Side; 1841 Broadway, New York, NY 10023; (646) 583-0904 
Manhattan Allergy, Immunology & Rheumatology; Allergists, Rheumatologists; 0; 0; Upper East Side; 47 E 77th St, New York, NY 10075; (646) 688-3443 
Manhattan Ave Chiropractic Associates; Chiropractors; 4.0 star rating; 5 reviews; Greenpoint; 715 Manhattan Ave, Brooklyn, NY 11222; (718) 389-0953 
Manhattan Avenue Family Dental; General Dentistry, Cosmetic Dentists; 1.5 star rating; 20 reviews; Greenpoint; 947 Manhattan Ave, Brooklyn, NY 11222; (718) 389-4266 
Manhattan Avenue Health Center at Greenpoint; Medical Centers; 1.0 star rating; 7 reviews; Greenpoint; 960 Manhattan Ave, Brooklyn, NY 11222; (718) 349-8500 
Manhattan Avenue Hearing Aids; Hearing Aid Providers; 0; 0; Greenwich Village; 2 Fifth Ave, New York, NY 10011; (917) 856-2703 
Manhattan Bridge Orthodonticss; Orthodontists; 4.5 star rating; 50 reviews; Chinatown; 145 Canal St, New York, NY 10002; (212) 274-0477 
Manhattan Cardiology; Cardiologists; 3.5 star rating; 8 reviews; Midtown East; 211 E 51st St, New York, NY 10022; (929) 373-4998 
Manhattan Center For Gynecology; Obstetricians & Gynecologists; 1.0 star rating; 6 reviews; Midtown East; 144 E 44th St, New York, NY 10017; (212) 308-4066 
Manhattan Center for Cognitive-Behavioral Therapy; Counseling & Mental Health; 0; 0; Midtown West; 276 5th Ave, Manhattan, NY 10001; (646) 863-4225 
Manhattan Chiropractic ; Chiropractors; 0; 0; Midtown East, Murray Hill; 161 Madison Avenue, New York, NY 10016; (212) 951-7246 
Manhattan Community Acupuncture; Acupuncture; 4.5 star rating; 5 reviews; Upper West Side; 168 W 86th St, New York, NY 10024; (212) 405-6126 
Manhattan Dental Arts; General Dentistry; 3.5 star rating; 34 reviews; Upper West Side; 1995 Broadway, New York, NY 10023; (212) 247-2330 
Manhattan Dental Care; General Dentistry, Periodontists; 4.0 star rating; 24 reviews; Upper West Side; 127 W 79th St, New York, NY 10024; (212) 580-4790 
Manhattan Dental Enterprise Pllc; General Dentistry, Cosmetic Dentists; 1.0 star rating; 1 review; Midtown East; 20 E 46th St Rm 400, New York, NY 10017; (212) 426-3790 
Manhattan Dental Studio; Cosmetic Dentists, General Dentistry, Periodontists; 5.0 star rating; 23 reviews; Midtown West; 358 5th Ave, New York, NY 10001; (212) 685-2476 
Manhattan Dermatology & Cosmetic Surgery; Dermatologists; 4.0 star rating; 19 reviews; Midtown East; 820 2nd Ave, Manhattan, NY 10017; (212) 661-3376 
Manhattan Dermatology; Dermatologists; 3.5 star rating; 31 reviews; Midtown East, Murray Hill; 71 Park Ave, New York, NY 10016; (212) 689-9587 
Manhattan Endoscopy; Gastroenterologist, Internal Medicine; 3.0 star rating; 7 reviews; Midtown East; 535 Fifth Ave, New York, NY 10017; (212) 682-2828 
Manhattan Eye Ear & Throat Hospital; Ear Nose & Throat; 4.0 star rating; 8 reviews; Upper East Side; 210 E 64th St, New York, NY 10021; (212) 838-9200 
Manhattan Family Practice Medical PC; Doctors; 4.0 star rating; 6 reviews; Upper East Side; 911 Park Ave, New York, NY 10075; (212) 288-7193 
Manhattan Gastroenterology; Doctors; 4.5 star rating; 11 reviews; Upper East Side; 170 E 78th St, New York, NY 10075; (212) 427-8761 
Manhattan Hematology Oncology Associates; Oncologist, Medical Centers; 0; 0; Midtown East, Murray Hill, Kips Bay; 157 E 32nd St, New York, NY 10016; (212) 689-6791 
Manhattan Internal Medicine Associates; Internal Medicine; 2.0 star rating; 2 reviews; Midtown East, Murray Hill, Kips Bay; 145 E 32nd St, New York, NY 10016; (212) 725-5590 
Manhattan Lasik Center; Optometrists, Laser Eye Surgery/Lasik, Ophthalmologists; 4.0 star rating; 65 reviews; Midtown East; 110 E 55th St, New York, NY 10022; (212) 759-9617 
Manhattan Medical Weight Loss Physician; Weight Loss Centers; 2.5 star rating; 17 reviews; Midtown East, Murray Hill; 110 E 40th St, New York, NY 10016; (212) 490-7700 
Manhattan Medical; Medical Centers; 2.0 star rating; 40 reviews; Greenpoint; 934 Manhattan Ave, Brooklyn, NY 11222; (718) 389-8585 
Manhattan Ophthalmology; Ophthalmologists; 0; 0; Upper East Side; 69 E 71st St, New York, NY 10021; (212) 744-1726 
Manhattan Orthopaedic & Sports Therapy; Physical Therapy; 5.0 star rating; 2 reviews; Kips Bay; 480 Second Ave, Manhattan, NY 10016; (646) 801-2016 
Manhattan Orthopedic & Sports Medicine Group PC; Orthopedists; 3.5 star rating; 31 reviews; Upper East Side; 57 W 57th St, New York, NY 10019; (212) 289-0700 
Manhattan Orthopedic Care; Orthopedists; 4.5 star rating; 27 reviews; Midtown East; 515 Madison Ave, New York, NY 10022; (212) 729-9200 
Manhattan Physio Group; Physical Therapy; 4.5 star rating; 3 reviews; Midtown West; 130 W 56th St, New York, NY 10019; (212) 247-8436 
Manhattan Podiatry; Podiatrists; 4.0 star rating; 44 reviews; Chinatown; 254 Canal St, New York, NY 10013; (212) 925-8805 
Manhattan Spine and Sports Medicine; Physical Therapy, Sports Medicine, Orthopedists; 5.0 star rating; 26 reviews; Midtown East; 300 E 56th St, New York, NY 10022; (212) 935-1700 
Manhattan Sports & Manual Physical Therapy; Physical Therapy, Sports Medicine; 5.0 star rating; 35 reviews; Midtown East; 10E 33rd St, New York, NY 10016; (646) 487-2495 
Manhattan Upper East Side Women’s Health Center; Obstetricians & Gynecologists; 2.0 star rating; 24 reviews; Upper East Side; 220 E 63rd St, Manhattan, NY 10065; (212) 308-3088 
Manhattan Vision Associates; Optometrists; 3.0 star rating; 28 reviews; Midtown East; 160 E 56th St, New York, NY 10022; (212) 688-4277 
Manhattan Wellness Group; Chiropractors, Acupuncture, Physical Therapy; 4.5 star rating; 22 reviews; Midtown East; 220 Madison Ave, New York, NY 10016; (212) 684-2300 
Manhattan Women’s Medical Center; null; 1.0 star rating; 4 reviews; Midtown East; 461 Park Ave S, New York, NY 10016; (212) 473-6500 
Manhattan Women’s Medical; Obstetricians & Gynecologists, Medical Centers; 1.5 star rating; 12 reviews; Midtown East; 461 Park Avenue S., New York, NY 10016; (212) 473-6500 
Manhattanville Renaissance; Medical Centers; 5.0 star rating; 4 reviews; Harlem; 21 Old Broadway, corner of 126th St, New York, NY 10027; (212) 531-7200 
Manhattan’s Physician Group; Medical Centers, Doctors; 2.0 star rating; 20 reviews; Yorkville, Upper East Side; 215 E 95th St, New York, NY 10128; (212) 996-8000 
Manisha Patel, MD; Family Practice; 0; 0; Financial District; 30 Broad Street, New York, NY 10004; (212) 530-0630 
Manjoorsa Physical Therapy ; Physical Therapy; 0; 0; Downtown Flushing, Flushing; 4161 Kissena Blvd, Ste 35, Flushing, NY 11355; (917) 285-2247 
Manual Physical Therapy ; Physical Therapy; 0; 0; Bay Ridge; 418 77th St, Brooklyn, NY 11209; (718) 745-5550 
Marc Alter, LCSW, Psychotherapist; Counseling & Mental Health; 5.0 star rating; 1 review; Midtown West; 19 W 34th St, New York, NY 10001; (646) 543-6784 
Marc Avram, MD; Dermatologists; 1.0 star rating; 1 review; Upper East Side; 905 5th Avenue, New York, NY 10021; (212) 734-4007 
Marc D Rosenberg,  LCSW; Counseling & Mental Health; 0; 0; Oakland Gardens; 7915 211th St, Oakland Gardens, NY 11364; (718) 464-8231 
Marc Lazare, DDS; Cosmetic Dentists; 5.0 star rating; 4 reviews; Upper East Side; 115 E 61st St, New York, NY 10065; (212) 861-2599 
Marc S. Lemchen, DMD; Orthodontists; 4.5 star rating; 14 reviews; Upper East Side; 553 Park Ave, New York, NY 10065; (212) 755-2333 
Maria Asprogerakas, OD; Optometrists; 3.0 star rating; 11 reviews; Astoria; 3018 31st St, Astoria, NY 11102; (718) 274-5575 
Maria Tulpan, MD; Internal Medicine, Endocrinologists; 3.5 star rating; 24 reviews; Midtown East, Murray Hill; 40 Park Ave, New York, NY 10016; (212) 679-7363 
Marianne Ryan Physical Therapy; Physical Therapy, Medical Spas; 1.0 star rating; 1 review; Midtown East; 6 E 45th St, New York, NY 10017; (212) 661-2933 
Marianne Styler, MD; Obstetricians & Gynecologists; 4.5 star rating; 17 reviews; Upper West Side; 7 W 81st St, New York, NY 10024; (212) 777-4577 
Marina Gastanovich, MD, PC; Internal Medicine, Family Practice; 2.5 star rating; 17 reviews; Yorkville, Upper East Side; 1550 York Ave, New York, NY 10028; (212) 249-6218 
Marina Neystat, MD; Cardiologists, Neurologist, Physical Therapy; 5.0 star rating; 2 reviews; Midwood; 1725 E 12th St, Brooklyn, NY 11229; (888) 273-3840 
Marina Neystat, MD; Neurologist; 0; 0; Forest Hills, Rego Park; 101-24 Queens Blvd, Ste A, Queens, NY 11375; (888) 273-3840 
Mario Tuchman Oral & Maxillofacial Surgery PLLC; Oral Surgeons; 4.5 star rating; 25 reviews; Midtown West; 30 Central Park S, New York, NY 10019; (212) 813-1780 
Marjorie Baptiste, DMD; Periodontists; 0; 0; Midtown East; 274 Madison Ave, Manhattan, NY 10016; (212) 203-8705 
Marjorie Basser Dialysis Center; Dialysis Clinics; 0; 0; Far Rockaway; St. John's Episcopal Hospital, Far Rockaway, NY 11691; (718) 869-7637 
Mark & Steven Bornfeld DDS; General Dentistry; 4.5 star rating; 11 reviews; Midwood; 1865 Ocean Ave, Brooklyn, NY 11230; (718) 258-5001 
Mark A Greenfield, LMT CPT FMS; Massage Therapy, Trainers; 5.0 star rating; 3 reviews; Chelsea; 122 W 26th St, New York, NY 10010; (917) 836-2610 
